p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p051,p052,p053,p054,p055,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074
0.8079999999999999,0.92,0.4184,0.20800000000000002,,,,0.552,,-0.124,,0.29,,0.57,,,,0.6546,,,,0.5,0.40700000000000003,0.73,0.41,,,0.95,0.631,0.491,0.58 ,0.95,,0.16699999999999998,-0.7692,,,0.12,,0.186,,0.215,0.96,0.0391,0.9207,0.85,0.524,,,,0.72,0.57,0.75,0.6545,,0.56,,,,0.922,,0.547,,0.73,0.27399999999999997,0.691,0.628,1.04,0.31,0.0403,
0.517,0.9928,0.5199,0.179,,,,0.812,,0.128,,0.84,,0.38,,,,0.6859,,,,0.45399999999999996,0.418,0.87,0.055,,,0.85,0.569,-0.0692,0.56 ,0.7,,0.09,-0.052000000000000005,,,0.52,,,,0.233,0.736,0.038,1.1298,0.71,0.49200000000000005,,,,0.86,0.023,0.6,0.6817,,0.73,,,,0.141,,0.611,,0.8,3.58,0.5920000000000001,0.0,0.547,0.09,0.0182,
0.7290000000000001,,0.3908,0.145,,,,0.998,,-0.107,,0.03,,0.49,,,,0.6224,,,,0.551,0.988,0.99,0.604,,,0.75,,0.601,0.23 ,0.63,,0.44799999999999995,0.2811,,,0.99,,,,0.259,1.29,-0.0163,0.9336,0.46,0.809,,,,0.81,0.38799999999999996,0.77,0.1323,,0.5,,,,0.35100000000000003,,0.519,,0.72,0.588,0.506,0.0,0.887,0.21,0.0986,
0.583,,0.5044,0.20199999999999999,,,,1.042,,0.193,,0.02,,1.03,,,,0.5966,,,,0.5479999999999999,1.0034,0.23,0.647,,,0.87,,-0.0142,-0.15 ,0.15,,0.82,0.8809999999999999,,,0.73,,,,0.271,0.5489999999999999,,1.0784,0.68,0.17600000000000002,,,,0.76,0.727,0.51,0.1392,,0.72,,,,-0.066,,0.649,,0.67,6.85,0.366,0.474,0.872,0.16,0.009,
0.778,,0.4513,0.174,,,,1.001,,0.135,,0.22,,0.44,,,,,,,,0.51,0.9886,0.55,0.069,,,0.84,,0.7609999999999999,0.28 ,0.82,,0.099,0.551,,,0.15,,,,0.298,1.09,,0.8873,0.74,0.08199999999999999,,,,0.73,0.009000000000000001,0.53,0.0255,,0.56,,,,,,0.612,,0.64,0.605,0.374,0.535,0.563,0.45,0.8076,
0.774,,0.5281,0.152,,,,,,0.225,,0.8,,0.53,,,,,,,,0.365,,0.2,0.505,,,0.59,,0.0152,0.32 ,0.73,,0.321,0.7809999999999999,,,0.43,,,,0.302,2.12,,1.0876,0.73,1.05,,,,0.79,0.49,0.47,0.0511,,0.68,,,,,,,,0.81,7.05,0.5,0.344,0.701,0.29,0.4472,
0.619,,,0.242,,,,,,-0.13699999999999998,,0.71,,0.82,,,,,,,,0.22399999999999998,,0.96,0.851,,,0.76,,0.731,0.41 ,0.94,,0.48200000000000004,0.821,,,0.97,,,,0.342,1.45,,0.8448,0.69,0.795,,,,0.92,0.42100000000000004,,0.4389,,0.69,,,,,,,,0.65,,0.045,17.3,0.31,0.25,1.1145,
0.7390000000000001,,,0.214,,,,,,-0.183,,0.82,,0.72,,,,,,,,0.2,,0.93,0.24600000000000002,,,0.7,,0.0062,-0.58 ,0.56,,0.063,,,,0.91,,,,0.365,1.33,,1.0468,0.83,0.723,,,,0.29,0.281,,0.9955,,0.58,,,,,,,,0.61,,0.23,0.48,0.302,0.22,0.5145,
0.955,,,0.13699999999999998,,,,,,0.002,,0.92,,0.42,,,,,,,,0.457,,1.57,0.743,,,0.63,,0.6709999999999999,0.75 ,1.05,,,,,,0.63,,,,0.389,2.43,,1.0788,0.66,0.879,,,,0.62,0.32,,,,0.76,,,,,,,,0.7,,,4.36,0.22,0.67,1.1263,
0.86,,,0.237,,,,,,0.004,,0.89,,0.34,,,,,,,,0.469,,0.78,0.415,,,0.77,,-0.0112,0.04 ,0.72,,,,,,2.03,,,,0.405,1.8,,0.996,0.66,0.45,,,,0.91,0.53,,,,0.74,,,,,,,,0.63,,,-9.49,0.632,0.71,0.0081,
0.636,,,0.226,,,,,,0.012,,0.9,,0.56,,,,,,,,0.488,,0.78,0.008,,,0.11,,,0.53 ,1.0,,,,,,,,,,0.426,1.05,,0.882,0.92,0.519,,,,0.85,0.36,,,,0.7,,,,,,,,0.71,,,0.54,0.446,0.11,0.008,
0.742,,,,,,,,,-0.135,,0.8,,0.57,,,,,,,,0.451,,0.04,0.066,,,1.13,,,0.27 ,0.79,,,,,,,,,,0.149,0.78,,1.141,0.56,,,,,0.92,0.62,,,,0.46,,,,,,,,0.82,,,0.612,0.051,0.27,0.0113,
0.826,,,,,,,,,0.43700000000000006,,0.71,,1.07,,,,,,,,,,-0.09,0.183,,,0.57,,,-0.28 ,0.76,,,,,,,,,,0.174,1.49,,0.9324,0.72,,,,,0.39,0.17600000000000002,,,,0.67,,,,,,,,0.75,,,0.36,0.113,0.36,0.0032,
0.698,,,,,,,,,0.455,,0.87,,,,,,,,,,,,0.82,0.11599999999999999,,,0.93,,,0.42 ,0.91,,,,,,,,,,0.192,1.03,,1.2939,0.68,,,,,0.91,0.41700000000000004,,,,0.72,,,,,,,,0.8,,,0.0018,0.249,0.34,0.0114,
0.8059999999999999,,,,,,,,,0.444,,0.77,,,,,,,,,,,,0.27,0.11,,,0.95,,,0.05 ,0.96,,,,,,,,,,0.228,2.97,,1.0411,0.81,,,,,0.92,0.46399999999999997,,,,0.66,,,,,,,,0.73,,,0.0268,0.068,0.15,,
0.706,,,,,,,,,0.605,,0.68,,,,,,,,,,,,0.23,0.205,,,0.34,,,0.27 ,0.62,,,,,,,,,,0.247,2.65,,1.0663,0.75,,,,,0.66,0.276,,,,,,,,,,,,0.59,,,0.0247,0.022000000000000002,0.53,,
