p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074
nan,0.8899,nan,0.001,nan,nan,0.0,0.0,1e-05,nan,0.0,0.02,0.51,0.0,nan,nan,nan,nan,0.303,nan,nan,0.0,nan,nan,0.0,nan,0.000,0.0,nan,nan,0.0,0 ,0.0,nan,nan,0.475,0.0,nan,nan,0.000 ,nan,0.0,0.027999999999999997,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,0.12,nan,nan,0.0,nan,nan,nan,nan
nan,0.1916,nan,0.0,nan,nan,0.2267,0.0,0.00015,nan,0.4964,0.0,0.43700000000000006,0.0,nan,nan,nan,nan,0.0643,nan,nan,nan,nan,nan,0.0,nan,0.001,0.0,nan,nan,0.585,0 ,0.0,nan,nan,0.0,0.0974,nan,nan,0.063 ,nan,0.0,0.059000000000000004,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.49,nan,nan,nan,0.0,nan,0.05,nan,nan,0.0,nan,nan,nan,nan
nan,0.6953,nan,0.0,nan,nan,0.0,0.001,0.0009400000000000001,nan,0.0712,0.0,0.017,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.86,nan,0.000,0.0,nan,nan,0.0,0 ,0.0,nan,nan,0.0,0.0004,nan,nan,0.004 ,nan,0.02,0.457,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13,nan,nan,nan,0.0,nan,0.17,nan,nan,0.0,nan,nan,nan,nan
nan,0.4333,nan,0.0,nan,nan,0.1074,0.0,0.14067000000000002,nan,0.0,0.02,0.39899999999999997,0.28600000000000003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03,nan,0.000,0.0,nan,nan,0.0,0 ,0.0,nan,nan,0.0,0.0,nan,nan,0.000 ,nan,0.475,0.597,0.415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.37,nan,nan,nan,0.0,nan,0.07,nan,nan,0.0,nan,nan,nan,nan
nan,0.2832,nan,0.0,nan,nan,0.2409,0.0,0.4932,nan,0.434,0.0,0.0,0.068,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.000,0.0,nan,nan,0.0,0 ,0.0,nan,nan,0.0,0.5548,nan,nan,0.048 ,nan,0.0,0.287,0.034,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19,nan,nan,nan,0.0,nan,0.0,nan,nan,0.028999999999999998,nan,nan,nan,nan
nan,0.0007,nan,0.0,nan,nan,0.0105,0.0,0.0358,nan,0.7698,0.03,0.509,0.418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.000,0.0,nan,nan,0.0,0 ,0.0,nan,nan,0.36700000000000005,0.0,nan,nan,0.000 ,nan,0.292,0.046,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,0.04,nan,nan,0.0,nan,nan,nan,nan
nan,0.0,nan,0.0,nan,nan,0.0002,0.0,1e-05,nan,0.4866,0.0,0.018000000000000002,0.032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0834,nan,0.354 ,0.001,nan,nan,0.0,0 ,0.0,nan,nan,0.544,0.1938,nan,nan,0.000 ,nan,0.95,0.147,0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.43,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,nan,nan,nan,nan
nan,0.0058,nan,0.0,nan,nan,0.3057,0.0,1e-05,nan,0.0,0.01,0.001,0.025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,nan,0.000 ,0.0,nan,nan,0.004,0 ,0.0,nan,nan,0.0,0.5295,nan,nan,0.392 ,nan,0.004,0.019,0.948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.69,nan,nan,nan,0.0,nan,0.05,nan,nan,0.0,nan,nan,nan,nan
nan,0.5645,nan,0.0,nan,nan,0.0967,0.0,0.7265,nan,0.0037,0.0,0.046,0.49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0004,nan,0.160 ,0.0,nan,nan,0.23199999999999998,0.8058 ,0.0,nan,nan,0.0,0.0,nan,nan,0.120 ,nan,0.0,0.18600000000000003,0.268,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.62,nan,nan,nan,0.004,nan,0.03,nan,nan,0.0,nan,nan,nan,nan
nan,0.0026,nan,0.012,nan,nan,0.0,0.0,0.047,nan,0.0,0.0,0.042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,nan,0.021 ,0.0,nan,nan,0.0,0 ,0.0,nan,nan,0.0,0.3274,nan,nan,0.299 ,nan,0.40700000000000003,0.285,0.003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.05,nan,nan,0.0,nan,nan,nan,nan
nan,0.1591,nan,0.0,nan,nan,0.016,0.0,1e-05,nan,0.266,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.029,nan,0.000 ,0.0,nan,nan,0.0,0 ,0.0,nan,nan,0.0,0.2791,nan,nan,0.295 ,nan,0.731,0.139,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.01,nan,nan,0.652,nan,nan,nan,nan
